visit-time,title,visit-count,typed-count,id,url
1645263080641,process - jad.saklawi@gmail.com - Gmail,24,,4p79LMMhGXKG,https://mail.google.com/mail/u/0/#label/the+lowball%2Fprocess/KtbxLwGnNvJXMXBvfkZKNlVrMGVqSdwfPg
1645263075555,"the lowball/process" - jad.saklawi@gmail.com - Gmail,191,,9yVxJuHIyNXM,https://mail.google.com/mail/u/0/#label/the+lowball%2Fprocess
1645262909618,process - jad.saklawi@gmail.com - Gmail,34,,FmnY7NT4rWuF,https://mail.google.com/mail/u/0/#label/the+lowball%2Fprocess/KtbxLvHHnQRNFsxFxmTdkkFCdLFBMcBjHg?projector=1&messagePartId=0.1
1645262898505,process - jad.saklawi@gmail.com - Gmail,35,,67kbKSUvnFI0,https://mail.google.com/mail/u/0/#label/the+lowball%2Fprocess/KtbxLvHHnQRNFsxFxmTdkkFCdLFBMcBjHg
1645257992078,process - jad.saklawi@gmail.com - Gmail,4,,YxCqHIivCmDu,https://mail.google.com/mail/u/0/#label/the+lowball%2Fprocess/QgrcJHsHqfscbDBFWGTPPwgxqSlpSDChRMq?projector=1&messagePartId=0.1
1645249096913,Facebook,1,,WRMolBBA2fq8,https://www.facebook.com/ChinaGlobalTVNetwork/videos/495588822085589
1645249035614,Facebook Live | Facebook,2,,ZLRtjNZGlmhe,https://www.facebook.com/watch/live/?ref=notif&v=495588822085589&notif_id=1645248915630715&notif_t=live_video_explicit
1645248911754,process - jad.saklawi@gmail.com - Gmail,2,,hxg8kahuI8PA,https://mail.google.com/mail/u/0/#label/the+lowball%2Fprocess/QgrcJHsHqfscbDBFWGTPPwgxqSlpSDChRMq
1645248885938,Facebook,1,,mNaWvJJfuL9J,https://www.facebook.com/goldenfeetleb/photos/pcb.1885128411679887/1885127471679981/
1645248884993,Facebook,2,,G2M7GJzOxyse,https://www.facebook.com/goldenfeetleb/photos/pcb.1885128411679887/1885127471679981/?__cft__[0]=AZW_YNP2Bp5Dk3Gsj5RuoPDQiCwNNAWXOdE1qx0v-WJyIe0tG5DZUnI23noJRT2bVp19jODxRXoJpPDXN0tC8t1j2Gvc5E8jZ7o35cddqr3WB3oSgvGm_zPWJVnVFY560PyqKV09o7ihIlGSNpQh4HpRIO1r80HsBrktuAvvJNkzAw6rVC-vZJi7kN9VIWU8f6Q&__tn__=*bH-R
1645248866670,Facebook,1,,zoLHSsZXhllj,https://www.facebook.com/levygallery/photos/pcb.5434365686590852/5434365599924194/
1645248865802,Facebook,2,,KRUrgAlLVbKs,https://www.facebook.com/levygallery/photos/pcb.5434365686590852/5434365599924194/?__cft__[0]=AZVGllJLkZ8b1ApdDCBD-7Tvg-AbNhAvTEoByq66ccyeuXSuEMYZ4g5dx5prm6Z2UXm9EAseNDwzm7nSkH-nBr9-khRyuzhR2wqgdic8b5l055ZaOJS0zBHvW7qykDVuL5r7cIBzs0mwFxq-ZUIF1o3WY7E3ua7MAzePtAaYSGryc6RBr4jlVB22HDnj_SSgplM&__tn__=*bH-R
1645248845282,Facebook,1,,WcRRwfrkqAgM,https://www.facebook.com/levygallery/photos/pcb.5434365686590852/5434365586590862/
1645248844421,Facebook,2,,0O2PolqCipcP,https://www.facebook.com/levygallery/photos/pcb.5434365686590852/5434365586590862/?__cft__[0]=AZVGllJLkZ8b1ApdDCBD-7Tvg-AbNhAvTEoByq66ccyeuXSuEMYZ4g5dx5prm6Z2UXm9EAseNDwzm7nSkH-nBr9-khRyuzhR2wqgdic8b5l055ZaOJS0zBHvW7qykDVuL5r7cIBzs0mwFxq-ZUIF1o3WY7E3ua7MAzePtAaYSGryc6RBr4jlVB22HDnj_SSgplM&__tn__=*bH-R
1645248790475,Coronavirus (COVID-19) Information Center | Facebook,1,,kLcX-TS3Zlqm,https://www.facebook.com/coronavirus_info/?page_source=covid_vaccine_faxit&hoisted_module_type=covid_vaccine_development
1645248771358,Facebook,1,,3xLjuhqEwRgi,https://www.facebook.com/levygallery/photos/pcb.5434365686590852/5434365593257528/
1645248770506,Facebook,2,,wATcr9iel-jf,https://www.facebook.com/levygallery/photos/pcb.5434365686590852/5434365593257528/?__cft__[0]=AZVGllJLkZ8b1ApdDCBD-7Tvg-AbNhAvTEoByq66ccyeuXSuEMYZ4g5dx5prm6Z2UXm9EAseNDwzm7nSkH-nBr9-khRyuzhR2wqgdic8b5l055ZaOJS0zBHvW7qykDVuL5r7cIBzs0mwFxq-ZUIF1o3WY7E3ua7MAzePtAaYSGryc6RBr4jlVB22HDnj_SSgplM&__tn__=*bH-R
1645248752676,Things to do in Albuquerque  New Mexico | Facebook,2,,IL3aUffr4V-j,https://www.facebook.com/places/Things-to-do-in-Albuquerque-New-Mexico/108161062545219/
1645248729175,Facebook,1,,UbD3dptPy5vY,https://www.facebook.com/532701334/videos/368988118310248
1645248711658,Facebook,1,,vABOTHgi8Nhk,https://www.facebook.com/permalink.php?story_fbid=10159390981766335&id=532701334
1645248711013,Facebook,2,,EgiHQ02jWaLI,https://www.facebook.com/permalink.php?story_fbid=10159390981766335&id=532701334&__cft__[0]=AZX5H04UOeCESZDZilSs2qHdbhp1SaVsJygGkFvzbDx4C_6_02CCrR4mp6SHGTVXuNaw_WoiA2wEzRxlYVUZGf5bLRCaDuWG-ItZ_ZtFVo7TkmVpH7JhNt9qQ8L7sOxelYN8Bnz2pn8r2pBvYck8NU29EjZrqSX1jVJVcaY9vQjr0Q&__tn__=%2CO%2CP-R
1645248705759,Facebook,1,,BfygCJyVWRKj,https://www.facebook.com/photo/?fbid=10166133967625331&set=pcb.3152813868298701
1645248704066,Facebook,2,,eZWcBi2vMKcX,https://www.facebook.com/photo/?fbid=10166133967625331&set=pcb.3152813868298701&__cft__[0]=AZVj9F3axFAXGdHcZ4Bmy0lNOvqcPt3hQ72r-WoJhpy4jqHH8MfYUzWZlVcFY4dcPrX-_t5fmemdO4IG9S9YANkAIIyU_qsjOi43bvQJ9cK7vFhF1DdPtFTaZgXEPPimJhIerONcvmoHZyjO6enVxXIru5-P2s9rxunRJKLXOmvlWCo4Y_tWClyH1MCCcfSdxlc&__tn__=*bH-R
1645248683303,Facebook,1,,mmflcdpSCKbl,https://www.facebook.com/MarinSanna/posts/487909892706161
1645248682087,Facebook,2,,7oR0Z3I7MCfN,https://www.facebook.com/MarinSanna/posts/487909892706161?__cft__[0]=AZUzLmb8Wn0pzlheHpt7DCGXGt8KUvb5TpLa1RtGCHXYoxuQBqEJP7tVVat4K-iLOuSy7sM42L-_dBF8yDE8iMR6bZfZeuhbuJHjBBCQfNm1IlV6o3-sH42Kr3K-7ftj9CfGDbC9ZPCPY2VgKb_dSBDsk7bs4r0mpQtd2jjptfhTnslnuBOxWkvsSL9v4wxKQyg&__tn__=%2CO%2CP-R
1645248647724,Facebook Live | Facebook,2,,hrHOWePMiRjR,https://www.facebook.com/watch/live/?ref=notif&v=635898967465205&notif_id=1645201557379856&notif_t=live_video_explicit
1645248566756,Facebook Live | Facebook,2,,El90jszNor5B,https://www.facebook.com/watch/live/?ref=watch_permalink&v=1146121032869058
1645248558729,https://www.facebook.com/ChinaGlobalTVNetwork/videos/1146121032869058/?__tn__=F,1,,HGaCTS90Do54,https://www.facebook.com/ChinaGlobalTVNetwork/videos/1146121032869058/?__tn__=F
1645248450380,Facebook Live | Facebook,2,,2XWgkXoDMfIT,https://www.facebook.com/watch/live/?ref=notif&v=1146121032869058&notif_id=1644839995795474&notif_t=live_video_explicit
1645248426814,https://www.facebook.com/pages/Albuquerque-New-Mexico/108161062545219?__cft__[0]=AZVGllJLkZ8b1ApdDCBD-7Tvg-AbNhAvTEoByq66ccyeuXSuEMYZ4g5dx5prm6Z2UXm9EAseNDwzm7nSkH-nBr9-khRyuzhR2wqgdic8b5l055ZaOJS0zBHvW7qykDVuL5r7cIBzs0mwFxq-ZUIF1o3WY7E3ua7MAzePtAaYSGryc6RBr4jlVB22HDnj_SSgplM&__tn__=%2CP-R,1,,ka5IjEpfZKKc,https://www.facebook.com/pages/Albuquerque-New-Mexico/108161062545219?__cft__[0]=AZVGllJLkZ8b1ApdDCBD-7Tvg-AbNhAvTEoByq66ccyeuXSuEMYZ4g5dx5prm6Z2UXm9EAseNDwzm7nSkH-nBr9-khRyuzhR2wqgdic8b5l055ZaOJS0zBHvW7qykDVuL5r7cIBzs0mwFxq-ZUIF1o3WY7E3ua7MAzePtAaYSGryc6RBr4jlVB22HDnj_SSgplM&__tn__=%2CP-R
1645248267832,Facebook,33,,QcpI0CXbKCUq,https://www.facebook.com/
1645248260392,"the lowball" - jad.saklawi@gmail.com - Gmail,92,,Y1RADqT2AWt2,https://mail.google.com/mail/u/0/#label/the+lowball
1645248252618,Inbox (9) - jad.saklawi@gmail.com - Gmail,115,,lfT-qkogdnB4,https://mail.google.com/mail/u/0/#inbox
1645248247637,Gmail,26,,tVIfljnqkDA9,https://mail.google.com/mail/u/0/
1645248247487,https://mail.google.com/mail/,4,,z2leAyABKqbD,https://mail.google.com/mail/
1645248247416,https://mail.google.com/,4,,QxT1p6c6YOcI,https://mail.google.com/
1645210487640,process - jad.saklawi@gmail.com - Gmail,1,,WsBXtoqPQd8z,https://mail.google.com/mail/u/0/#inbox/QgrcJHsHqfscbDBFWGTPPwgxqSlpSDChRMq
1645210463274,process-3.png,0,,knjD5gnYZ4aB,https://mail-attachment.googleusercontent.com/attachment/u/0/?ui=2&ik=0675c0af3b&attid=0.3&permmsgid=msg-a:r-5741510570567452396&view=att&disp=safe&realattid=f_kzsrsr142&saddbat=ANGjdJ_O48pLV1rhPdW7-B13NRTIAkWOSTSba1zFRMNM9awsY1Y4hW5XsLd_AXpeAUlEI0UzYrhsKlH9yzUdIP-DTdesnZbMLH_vv3ADJwQrj5FKhHwReXpvY2QS370FFQDlesygdwm1tGypXBJx7U6nSNKDOjkN9z3jocuDCDy960D5JCLn3-HtWDnbIj0DFZdolkD8TJGZMlWj1-obhY2CGrOOwXdAdcoxJ4upVIYkRnSsBehrZIEnaPLRVi4V-TWtH_lOxl1wyxDTYXdlXLwEoyyxErL4yTCZ1rmkmdr_sgFpeIxjgAZlM5SrQcBbX0v45N4fbRSZHTx8deUYu_a277ogzr_T32LXjd4kmg8CFAa0n7NqMJir76IQMSKldQ4xw2AGwwfNHq2WRwmI_o2Uod7oK3ahl9DxfN4TDNZbEOzpMzMHB-sIdjzzRmltnKBsY8USRN0z2xA6_WtF8T_44ZFfGC4DAORu3ZDDlKsUkT4q-3dHcQ-IGxUtpXZyvLn0eK3QVSOJz8LrESB_3pPyxURYNkaeMCUA_2UHiU11l-N8X7M0-ytsTkXqIBM6Wl6STLKfCuNIyZheYYEIG6zlrGyTFuun2aBDNZzhar3oUs_1D1cqd0XWt67cerXmiEXANiQb1ahz6knM-JYL36ef7-zaDjZnvHxl1a83vw
1645210461457,https://mail.google.com/mail/u/0?ui=2&ik=0675c0af3b&attid=0.3&permmsgid=msg-a:r-5741510570567452396&view=att&disp=safe&realattid=f_kzsrsr142,1,,ixRRhPpAxJNV,https://mail.google.com/mail/u/0?ui=2&ik=0675c0af3b&attid=0.3&permmsgid=msg-a:r-5741510570567452396&view=att&disp=safe&realattid=f_kzsrsr142
1645210448075,the lowball-9.png,0,,ALj7n910JVnn,https://mail-attachment.googleusercontent.com/attachment/u/0/?ui=2&ik=0675c0af3b&attid=0.2&permmsgid=msg-a:r-5741510570567452396&view=att&disp=safe&realattid=f_kzsriwrz1&saddbat=ANGjdJ-aRcyrI08s1-JCgPxeE0HY4aK1sNwsWcBMjx1vxF10khV0Q1upVzCzgAUkUWO9FY7IpF_qynFB4o9K4anW9bGkT4ReG84vCoCXnVjcob8Lkft7j6il3pG074Qwyk9K2e71_C-jSpnNCR2eN6SR4gM3CA1xAXvq2-X647jzJErT34lDi0KUwr4H-W3WjGSL9uM5kTL_oGP7cr5lZZAnZ_fk8-lvWPHyPW8dCR1Qn8JNLre-lVdUuLtTB6CsIf-tWClPXA_8hkY3-l4xj5tGvu-3rnSMqP7GakGK5CRVpFPYSPe5zl89Px3CIXEnfKyKW85qHuRq-0PmeV0nu3B7Q6zC7hpiMkJnPXNRlIGPyWVr3IRRyuRze0gxau0AwRF1zArcJgMvldfrZyTLTJ2nQZbdgFYBQzCXxT_RXD3EK9EV6blCbxjp_rBRMaUy7HGwG5bQlXooEpf_NXqE_Z0-hzjhEvJQXPeLcIcupv6wa7rev6c_UY3OX5BuCUiefZ50xfd3NGMGEoUPtJkZ9Z0by1FlIPhOP9bEvYBSiXTsmAwB9fV_4mySm2DGHCrPna7JbQXPTUApTU1ws48OyvAySFwP5tWsvzZUnE5Pdnufbb1khhuPujEQ99HzBNHVdtm6AKqkChhXRiehy80xX9MG9jGaeb2qlGJTYWUThw
1645210445987,https://mail.google.com/mail/u/0?ui=2&ik=0675c0af3b&attid=0.2&permmsgid=msg-a:r-5741510570567452396&view=att&disp=safe&realattid=f_kzsriwrz1,4,,laKOls4R9ZO4,https://mail.google.com/mail/u/0?ui=2&ik=0675c0af3b&attid=0.2&permmsgid=msg-a:r-5741510570567452396&view=att&disp=safe&realattid=f_kzsriwrz1
